Category,Item,Price (INR),Description
Soup,Lemon Coriander,150,"Light, zesty & refreshing soup."
Soup,Manchow Soup,150,"Spicy, flavourful Indo-Chinese soup."
Soup,Sweet Corn Soup,160,"Mild, sweet & comforting soup."
Soup,Tomato Soup,170,"Smooth, tangy & classic soup."
Soup,Palak Soup,170,"Creamy, wholesome spinach soup."
Soup,Mixed Vegetable,170,"A hearty medley of fresh vegetables in a rich, flavourful gravy."
Salad's,Thecha,80,Fresh salad with a spicy Maharashtrian twist.
Salad's,Green Salad,80,"Crisp, fresh & healthy garden salad."
Salad's,Caesar Salad,150,Classic crisp salad with creamy dressing.
Salad's,Paneer Tikka Salad,280,Fresh salad with smoky paneer tikka.
Salad's,Russian Salad,280,"Creamy, mildly sweet vegetable salad."
Snack Stories,Manchurian Dry/gravy,180,Crispy Manchurian tossed in a flavourful sauce.
Snack Stories,Saya Kentucky,180,"Spicy, smoky soya-based Indo-Chinese snack."
Snack Stories,Mushroom 65,200,"Crispy, spicy mushroom bites with South Indian flavours."
Snack Stories,Mushroom Chilli Dry/gravy,200,Savoury mushrooms in a spicy chilli sauce.
Snack Stories,Veg 65,200,"Crispy, spiced vegetable bites."
Snack Stories,Veg Crispy,230,Crunchy mixed vegetables with a flavourful coating.
Snack Stories,Veg Gold Finger,240,"Golden, crispy vegetable finger bites."
Snack Stories,Spring Roll,240,Crispy rolls filled with flavourful vegetables.
Snack Stories,Soyabean Chilli,240,"Spicy, savoury soyabean tossed in chilli sauce."
Snack Stories,Paneer Chilli-Dry/gravy,250,Soft paneer in a spicy Indo-Chinese chilli sauce.
Snack Stories,Paneer 65,250,"Crispy, spicy paneer bites."
Snack Stories,Paneer Kentucky,250,"Spicy, smoky paneer with a bold flavour."
Golden Crunch,Classic Nachos,200,Crispy nachos with classic Mexican flavours.
Golden Crunch,Cheese Chilli Nachos,220,Crispy nachos with melted cheese and a spicy kick.
Golden Crunch,Nachos Chaat,240,A fun Indian twist on classic nachos.
Golden Crunch,Loaded Nachos,240,Nachos loaded with delicious toppings and cheese.
Golden Crunch,Mexican Veg Tacos,240,"Spiced veggies, salsa & creamy sauce."
Golden Crunch,Crispy Paneer Tacos,280,"Crispy paneer, fresh salsa & chipotle mayo."
Golden Crunch,Peri-Peri Veg Tacos,300,"Spicy veggies, peri-peri sauce & crunchy lettuce."
Golden Crunch,Avocado Tacos,350,"Creamy avocado, fresh salsa & crunchy lettuce."
Sizzler's,Veg Sizzler,300,A sizzling platter of grilled vegetables and delicious sides.
Sizzler's,La Casa Sizzler,390,A hearty signature sizzler with rich flavours.
Sizzler's,Spanish Sizzler,420,A flavourful sizzling platter with Spanish-inspired flavours.
Sizzler's,Mexican Sizzler,420,"A spicy, zesty sizzler with Mexican flavours."
